country,capital,population
U.S. Minor Outlying Islands,None,0
Antarctica,None,0
Bouvet Island,None,0
Heard Island and McDonald Islands,None,0
South Georgia and the South Sandwich Islands,Grytviken,30
Pitcairn Islands,Adamstown,46
French Southern Territories,Port-aux-Français,140
Cocos [Keeling] Islands,West Island,628
Vatican City,Vatican City,921
Tokelau,None,1466
Christmas Island,Flying Fish Cove,1500
Norfolk Island,Kingston,1828
Niue,Alofi,2166
Svalbard and Jan Mayen,Longyearbyen,2550
Falkland Islands,Stanley,2638
British Indian Ocean Territory,None,4000
Saint Pierre and Miquelon,Saint-Pierre,7012
Saint Helena,Jamestown,7460
Saint Barthélemy,Gustavia,8450
Montserrat,Plymouth,9341
Nauru,Yaren,10065
Tuvalu,Funafuti,10472
Anguilla,The Valley,13254
Wallis and Futuna,Mata-Utu,16025
Bonaire,Kralendijk,18012
Palau,Melekeok,19907
Turks and Caicos Islands,Cockburn Town,20556
Cook Islands,Avarua,21388
British Virgin Islands,Road Town,21730
Åland,Mariehamn,26711
Gibraltar,Gibraltar,27884
San Marino,San Marino,31477
Monaco,Monaco,32965
Liechtenstein,Vaduz,35000
Saint Martin,Marigot,35925
Sint Maarten,Philipsburg,37429
Cayman Islands,George Town,44270
Faroe Islands,Tórshavn,48228
Saint Kitts and Nevis,Basseterre,51134
Northern Mariana Islands,Saipan,53883
Greenland,Nuuk,56375
American Samoa,Pago Pago,57881
Guernsey,St Peter Port,65228
Bermuda,Hamilton,65365
Marshall Islands,Majuro,65859
Aruba,Oranjestad,71566
Dominica,Roseau,72813
Isle of Man,Douglas,75049
Andorra,Andorra la Vella,84000
Antigua and Barbuda,St. John's,86754
Seychelles,Victoria,88340
Jersey,Saint Helier,90812
Kiribati,Tarawa,92533
Saint Vincent and the Grenadines,Kingstown,104217
Micronesia,Palikir,107708
Grenada,St. George's,107818
U.S. Virgin Islands,Charlotte Amalie,108708
Tonga,Nuku'alofa,122580
Curacao,Willemstad,141766
Mayotte,Mamoudzou,159042
Guam,Hagåtña,159358
